All CPC Ads Report - Shopee Indonesia
User Name,tomeame.official
Shop Name,Tome Ame Official Shop
Shop ID,336562772
Report Creation Time,18/05/2026 15:18
Date Period,01/01/2026 - 31/01/2026

Sequence,Ad Name,Status,Ads Type,Product ID,Creative,Bidding Method,Placement,Start Date,End Date,Impression,Clicks,CTR,Conversions,Direct Conversions,Conversion Rate,Direct Conversion Rate,Cost per Conversion,Cost per Direct Conversion,Items Sold,Direct Items Sold,GMV,Direct GMV,Expense,ROAS,Direct ROAS,ACOS,Direct ACOS,Product Impressions,Product Clicks,Product CTR,Voucher Amount,Vouchered Sales
16,Tome Ame - Hitomi Longsleeve Button - T Shirt Lengan Panjang 24S,Ongoing,Product Ad,43623306311,-,GMV Max Custom ROAS,All,19/01/2026 00:00:00,Unlimited,162589,3538,2.18%,86,67,2.43%,1.89%,20241.92,25982.17,88,69,18161629,14119120,1740805,10.43,8.11,9.59%,12.33%,-,-,-,0,0
17,Tome Ame - Chiko Plaid Embroidery Shirt - Kemeja Lengan Panjang Motif Kotak,Ongoing,Product Ad,41773325129,-,GMV Max Custom ROAS,All,10/10/2025 00:00:00,Unlimited,158202,6254,3.95%,90,41,1.44%,0.66%,25051.18,54990.40,90,41,21378786,11523920,2254606,9.48,5.11,10.55%,19.56%,-,-,-,0,0
18,Tome Ame - Megumi Longsleeve - Kaos Lengan Panjang Embroidery 24S,Ongoing,Product Ad,42977446067,-,GMV Max Custom ROAS,All,01/01/2026 00:00:00,Unlimited,157178,3166,2.01%,104,69,3.28%,2.18%,21786.41,32837.49,106,71,20239009,12872300,2265787,8.93,5.68,11.20%,17.60%,-,-,-,0,0
19,Tome Ame - Nara Oversize Tee [5],Ongoing,Product Ad,12086672587,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,147564,5508,3.73%,98,76,1.78%,1.38%,16546.17,21335.85,98,76,15048536,10910437,1621525,9.28,6.73,10.78%,14.86%,-,-,-,0,0
20,Tome Ame - Tometo Plaid Button Embroidery  Shirt - Kemeja Lengan Panjang Motif Kotak,Ongoing,Product Ad,41123315274,-,GMV Max Custom ROAS,All,10/10/2025 00:00:00,Unlimited,139498,6028,4.32%,82,50,1.36%,0.83%,25970.25,42591.22,82,50,21684409,14415990,2129561,10.18,6.77,9.82%,14.77%,-,-,-,0,0
21,Tome Ame - Yuma Long Sleeve Dark Grey,Ongoing,Product Ad,29213631991,-,GMV Max Custom ROAS,All,21/10/2024 00:00:00,Unlimited,124778,4255,3.41%,109,76,2.56%,1.79%,19534.97,28017.27,110,77,18254722,11621872,2129312,8.57,5.46,11.66%,18.32%,-,-,-,0,0
22,Tome Ame - Yumi Boxy Longsleeve Tee Navy - Kaos Lengan Panjang Oversized 24S,Ongoing,Product Ad,41359204077,-,GMV Max Custom ROAS,All,21/07/2025 00:00:00,Unlimited,123049,2460,2.00%,69,41,2.80%,1.67%,27993.60,47111.18,71,42,15053369,9362580,1931558,7.79,4.85,12.83%,20.63%,-,-,-,0,0
23,Tome Ame - Bunny Pink Longsleeve Tee,Ongoing,Product Ad,28120427993,-,GMV Max Custom ROAS,All,12/12/2024 00:00:00,Unlimited,117034,3998,3.42%,88,51,2.20%,1.28%,20044.81,34587.12,88,51,16326846,9244533,1763943,9.26,5.24,10.80%,19.08%,-,-,-,0,0
24,Tome Ame - Yukio Longslevee White - Kaos Lengan Panjang Putih Motif Polkadot,Ongoing,Product Ad,43060213010,-,GMV Max Custom ROAS,All,25/07/2025 00:00:00,Unlimited,114691,4283,3.73%,101,40,2.36%,0.93%,23589.87,59564.42,101,40,20533560,8261800,2382577,8.62,3.47,11.60%,28.84%,-,-,-,0,0
25,Tome Ame - Nijiko Longsleeve Brown - Atasan Knit Motfif Garis,Ongoing,Product Ad,45053535595,-,GMV Max Custom ROAS,All,31/12/2025 00:00:00,Unlimited,107861,3512,3.26%,59,31,1.68%,0.88%,30231.09,57536.59,60,32,17155020,10823300,1783634,9.62,6.07,10.40%,16.48%,-,-,-,0,0
26,Tome Ame - Kinoko Denim Shirt - Kemeja Denim Oversized Lengan Panjang,Ongoing,Product Ad,49802038587,-,GMV Max Custom ROAS,All,12/01/2026 00:00:00,Unlimited,104679,3816,3.65%,53,33,1.39%,0.86%,23426.54,37624.44,53,33,13711308,9584944,1241607,11.04,7.72,9.06%,12.95%,-,-,-,0,0
27,Tome Ame - Rei Boxy Longsleeve Black,Ongoing,Product Ad,29477475746,-,GMV Max Custom ROAS,All,26/02/2025 00:00:00,Unlimited,89058,2591,2.91%,67,39,2.59%,1.51%,20750.80,35648.81,71,40,13329517,7504017,1390304,9.59,5.40,10.43%,18.53%,-,-,-,0,0
28,Tome Ame - Tomerebi Striped Longsleeve Shirt - Kaos Lengan Panjang Custom Stripe,Ongoing,Product Ad,51302020363,-,GMV Max Custom ROAS,All,29/12/2025 00:00:00,Unlimited,85418,2247,2.63%,75,52,3.34%,2.31%,26204.09,37794.36,76,52,16930226,12590110,1965307,8.61,6.41,11.61%,15.61%,-,-,-,0,0
29,Tome Ame - Omi Striped Shirt Black - Kemeja Garis Lengan Panjang Embrodiery,Ongoing,Product Ad,50702904911,-,GMV Max Custom ROAS,All,12/12/2025 00:00:00,Unlimited,84156,2845,3.38%,36,23,1.27%,0.81%,35055.56,54869.57,36,23,9790290,6719360,1262000,7.76,5.32,12.89%,18.78%,-,-,-,0,0
30,Tome Ame - Tome Club Boxy Longsleeve Brown - Kaos Lengan Panjang Oversized Coklat 24S,Ongoing,Product Ad,43008297268,-,GMV Max Custom ROAS,All,14/07/2025 00:00:00,Unlimited,82368,3228,3.92%,69,33,2.14%,1.02%,21755.84,45489.48,69,33,14948756,7294888,1501153,9.96,4.86,10.04%,20.58%,-,-,-,0,0
31,Tome Ame - Hanami Short Polo Shirt - T Shirt Polo Lengan Pendek Aksen Kancing,Ongoing,Product Ad,29292550032,-,GMV Max Custom ROAS,All,10/10/2025 00:00:00,Unlimited,81149,2764,3.41%,81,69,2.93%,2.50%,19637.34,23052.53,82,70,14696980,12030530,1590624,9.24,7.56,10.82%,13.22%,-,-,-,0,0
32,Tome Ame - Runa Crop Tee White on White,Ongoing,Product Ad,26927406568,-,GMV Max Custom ROAS,All,06/03/2025 00:00:00,Unlimited,74021,2767,3.74%,43,17,1.55%,0.61%,21339.79,53977.11,43,17,8406650,3071480,917611,9.16,3.35,10.92%,29.88%,-,-,-,0,0
33,Tome Ame - Hanni Tee White - Kaos Lengan Pendek 24S Motif Ruffle,Ongoing,Product Ad,52102014199,-,GMV Max Custom ROAS,All,27/11/2025 00:00:00,Unlimited,63063,2328,3.69%,51,27,2.19%,1.16%,22074.53,41696.33,51,27,8947230,4382000,1125801,7.95,3.89,12.58%,25.69%,-,-,-,0,0
34,Tome Ame - Yume Long Sleeve - Longsleeve 24S Two Tone,Ongoing,Product Ad,44652040537,-,GMV Max Custom ROAS,All,27/11/2025 00:00:00,Unlimited,61076,2187,3.58%,37,16,1.69%,0.73%,30133.95,69684.76,37,16,7632810,3441150,1114956,6.85,3.09,14.61%,32.40%,-,-,-,0,0
35,Tome Ame - Shinya Longsleeve Shirt - Kaos Polo Lengan Motif Polkadot,Ongoing,Product Ad,57102025026,-,GMV Max Custom ROAS,All,27/11/2025 00:00:00,Unlimited,53962,2257,4.18%,29,6,1.28%,0.27%,35027.31,169298.69,29,6,6781840,1594320,1015792,6.68,1.57,14.98%,63.71%,-,-,-,0,0
36,TOME AME - OSUMI STRIPE SHIRT - KEMEJA LENGAN PANJANG WANITA MOTIF BUNGA COTTON STRIPE,Ongoing,Product Ad,54254650757,-,GMV Max Custom ROAS,All,18/01/2026 00:00:00,Unlimited,48271,1407,2.91%,18,6,1.28%,0.43%,25481.41,76444.24,18,6,4190285,1724932,458665,9.14,3.76,10.95%,26.59%,-,-,-,0,0
37,Tome Ame - Riku Vest Green Bottle - Outer Vest Crinkle,Ongoing,Product Ad,56802004985,-,GMV Max Custom ROAS,All,27/11/2025 00:00:00,Unlimited,47668,2019,4.24%,30,21,1.49%,1.04%,28331.00,40472.86,34,25,8971020,7486120,849930,10.56,8.81,9.47%,11.35%,-,-,-,0,0
38,Tome Ame - Fuka Longsleeve Grey,Ongoing,Product Ad,28763632403,-,GMV Max Custom ROAS,All,21/10/2024 00:00:00,Unlimited,46594,1322,2.84%,30,14,2.27%,1.06%,22414.56,48031.20,32,14,5901427,2801688,672437,8.78,4.17,11.39%,24.00%,-,-,-,0,0
39,Tome Ame - Yujin Longsleeve Lace Pattern - T Shirt Lengan Panjang Motif Renda,Ongoing,Product Ad,26242059455,-,GMV Max Custom ROAS,All,14/11/2025 00:00:00,Unlimited,44129,1843,4.18%,83,62,4.50%,3.36%,19763.41,26457.46,83,62,15881130,11837120,1640363,9.68,7.22,10.33%,13.86%,-,-,-,0,0
40,Tome Ame - Kiki Retro Windbreaker Jacket Black - Jaket Windbreaker Wanita,Ongoing,Product Ad,41310208723,-,GMV Max Custom ROAS,All,25/07/2025 00:00:00,Unlimited,42504,2601,6.12%,45,41,1.73%,1.58%,21354.79,23438.18,45,41,17611880,16882000,960965,18.33,17.57,5.46%,5.69%,-,-,-,0,0
41,Tome Ame - Kyoto Longsleeve Dark Green - Kaos Lengan Panjang 24S,Ongoing,Product Ad,29238604746,-,GMV Max Custom ROAS,All,14/07/2025 00:00:00,Unlimited,39860,1370,3.44%,33,18,2.41%,1.31%,25757.79,47222.62,33,18,7233280,4202900,850007,8.51,4.94,11.75%,20.22%,-,-,-,0,0
42,Tome Ame - Omi Striped Shirt Pink - Kemeja Garis Lengan Panjang Embrodiery,Ongoing,Product Ad,43203171741,-,GMV Max Custom ROAS,All,09/06/2025 00:00:00,Unlimited,30217,1654,5.47%,34,27,2.06%,1.63%,15145.45,19072.05,34,27,9469199,7888320,514945,18.39,15.32,5.44%,6.53%,-,-,-,0,0
43,TOME AME - HIKAMI T SHIRT LONGSLEEVE BUTTON - KAOS POLOS LENGAN PANJANG 20S,Ongoing,Product Ad,52855158680,-,GMV Max Custom ROAS,All,26/01/2026 00:00:00,Unlimited,30182,1054,3.49%,14,9,1.33%,0.85%,21285.91,33111.42,14,9,2838352,1862952,298003,9.52,6.25,10.50%,16.00%,-,-,-,0,0
44,Tome Ame - Mina Striped Oversize Tee Black [5],Ongoing,Product Ad,21126944703,-,GMV Max Custom ROAS,All,24/07/2024 00:00:00,Unlimited,30113,1265,4.20%,55,43,4.35%,3.40%,15635.71,19999.16,55,43,8225220,6156600,859964,9.56,7.16,10.46%,13.97%,-,-,-,0,0
45,Tome Ame - Junko Knit Jersey Dark Green [5],Ongoing,Product Ad,18693748789,-,GMV Max Custom ROAS,All,29/06/2024 00:00:00,Unlimited,26566,819,3.08%,24,17,2.93%,2.08%,27063.31,38207.03,24,17,6554700,5376400,649519,10.09,8.28,9.91%,12.08%,-,-,-,0,0
46,Tome Ame - Miko Longsleeve Black,Ongoing,Product Ad,29077105756,-,GMV Max Custom ROAS,All,23/02/2025 00:00:00,Unlimited,24785,768,3.10%,28,10,3.65%,1.30%,17616.45,49326.05,29,10,5604609,1941920,493261,11.36,3.94,8.80%,25.40%,-,-,-,0,0
47,Tome Ame - Haka Retro Windbreaker Jacket Jaket Winbreaker Wanita [5],Ongoing,Product Ad,23103821267,-,GMV Max Custom ROAS,All,03/07/2024 00:00:00,Unlimited,23115,1122,4.85%,16,7,1.43%,0.62%,6733.57,15391.02,16,7,4218590,2697300,107737,39.16,25.04,2.55%,3.99%,-,-,-,0,0
48,Tome Ame - Sora Longsleeve Black [2],Ongoing,Product Ad,25191890012,-,GMV Max Custom ROAS,All,20/05/2025 00:00:00,Unlimited,19430,643,3.31%,8,6,1.24%,0.93%,21182.42,28243.23,8,6,1675800,1317000,169459,9.89,7.77,10.11%,12.87%,-,-,-,0,0
49,Tome Ame - Yuna Longsleeve - Kaos Lengan Panjang Embroidery 24S Motif Bunga,Ongoing,Product Ad,47453535326,-,GMV Max Custom ROAS,All,29/12/2025 00:00:00,Unlimited,15615,504,3.23%,28,22,5.56%,4.37%,19060.04,24258.24,28,22,5718850,4305050,533681,10.72,8.07,9.33%,12.40%,-,-,-,0,0
50,Tome Ame - Pichi Jersey Tee - Kaos Jersey 24S Oversized,Ongoing,Product Ad,44952045072,-,GMV Max Custom ROAS,All,12/12/2025 00:00:00,Unlimited,12262,318,2.59%,4,1,1.26%,0.31%,55059.97,220239.88,4,1,728166,212166,220240,3.31,0.96,30.25%,103.81%,-,-,-,0,0
51,TOME AME - MIKAMI SHIRT - KEMEJA POLOS WANITA LENGAN PANJANG COTTON BORDIR,Ongoing,Product Ad,57854650819,-,GMV Max Custom ROAS,All,18/01/2026 00:00:00,Unlimited,4674,176,3.77%,2,1,1.14%,0.57%,10501.56,21003.13,2,1,672250,371200,21003,32.01,17.67,3.12%,5.66%,-,-,-,0,0
52,TOME AME - MOMO STRIPE SHIRT - KEMEJA LENGAN PANJANG WANITA  COTTON STRIPE,Ongoing,Product Ad,48855168612,-,GMV Max Custom ROAS,All,30/01/2026 00:00:00,Unlimited,4629,179,3.87%,3,3,1.68%,1.68%,7231.41,7231.41,3,3,931500,931500,21694,42.94,42.94,2.33%,2.33%,-,-,-,0,0
53,Tome Ame - Migi Rugby Shirt Polkadot - Longsleeve Knitwear Rajut,Ongoing,Product Ad,29389480369,-,GMV Max Custom ROAS,All,08/08/2025 00:00:00,Unlimited,4175,193,4.62%,11,0,5.70%,0.00%,18920.57,0.00,11,0,2160680,0,208126,10.38,0.00,9.63%,0.00%,-,-,-,0,0
54,Tome Ame - Ayame Shirt,Ongoing,Product Ad,55252004709,-,GMV Max Custom ROAS,All,07/12/2025 00:00:00,Unlimited,1573,147,9.35%,3,3,2.04%,2.04%,10801.84,10801.84,3,3,910800,910800,32406,28.11,28.11,3.56%,3.56%,-,-,-,0,0
55,Tome Ame - Miwa Long Sleeve Tee,Ongoing,Product Ad,29260776632,-,GMV Max Custom ROAS,All,10/09/2024 00:00:00,Unlimited,4,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
56,Tome Ame - Hatsu Polka Boxy Shirt - Kemeja Oversized Aksen Dasi,Ongoing,Product Ad,40920975481,-,GMV Max Custom ROAS,All,25/09/2025 00:00:00,Unlimited,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
57,Tome Ame - Nao Striped Boxy Longsleeve,Ongoing,Product Ad,26227098359,-,GMV Max Custom ROAS,All,23/02/2025 00:00:00,Unlimited,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
58,Tome Ame - Ichi Brown Longsleeve - Kaos Lengan Panjang Coklat 24S,Ongoing,Product Ad,44008296795,-,GMV Max Custom ROAS,All,14/07/2025 00:00:00,Unlimited,0,0,0.00%,1,0,0.00%,0.00%,0.00,0.00,1,0,169000,0,0,0.00,0.00,0.00%,0.00%,-,-,-,0,0
59,Tome Ame - Kana 07 Boxy Longsleeve Grey,Paused,Product Ad,29027104533,-,GMV Max Custom ROAS,All,23/02/2025 00:00:00,Unlimited,115967,3527,3.04%,91,52,2.58%,1.47%,18808.26,32914.46,91,52,17127008,9543625,1711552,10.01,5.58,9.99%,17.93%,-,-,-,0,0
60,Tome Ame - Ruki Boxy Longsleeve Tee Cream - Kaos Lengan Panjang Oversized 24s Flanel,Paused,Product Ad,41509203847,-,GMV Max Custom ROAS,All,23/07/2025 00:00:00,Unlimited,4684,178,3.80%,2,0,1.12%,0.00%,25000.00,0.00,2,0,396000,0,50000,7.92,0.00,12.63%,0.00%,-,-,-,0,0
61,Tome Ame - Polka Longsleeve Black - Kaos Lengan Panjang Polkadot Hitam 24S,Paused,Product Ad,42960204505,-,GMV Max Custom ROAS,All,25/07/2025 00:00:00,Unlimited,2860,144,5.03%,10,3,6.94%,2.08%,15000.00,50000.00,10,3,1895460,555520,150000,12.64,3.70,7.91%,27.00%,-,-,-,0,0
